REPO,archive,technology,path,stars,first_commit,introduced_at,latest_commit,dev_percentage
davidclin/cloudcustodian-policies,davidclin-cloudcustodian-policies.tar.gz,cloud-custodian,policies/vpn.yml,142.0,2018-04-13 11:11:49-07:00,2019-02-07 05:53:08+00:00,2021-09-10 07:32:44+00:00,24.044441138452800
debate-map/app,debate-map-app.tar.gz,kyverno,Packages/deploy/Kyverno/ProtectCertManagerServices.yaml,76.0,2017-02-02 09:58:36-08:00,2023-05-31 05:07:57-07:00,2025-06-10 02:42:16+00:00,75.71273066914160
replicatedhq/kurl,replicatedhq-kURL.tar.gz,opa,addons/weave/2.6.5/build-images/weave-npc/.trivyignore.rego,782.0,2019-07-25 14:14:20-07:00,2022-06-14 22:06:24+01:00,2025-06-27 03:04:27+00:00,48.769113046235500
beryju/k8s,BeryJu-k8s.tar.gz,kyverno,common-backup/kyverno/snapshot-cronjob-controller.yaml,23.0,2021-03-15 11:41:46+01:00,2022-10-22 17:32:13+02:00,2025-06-27 14:49:57+00:00,37.45285313545710
konflux-ci/konflux-test,konflux-ci-konflux-test.tar.gz,opa,policies/image/optional-labels.rego,6.0,2022-03-15 12:42:06+01:00,2022-04-13 10:33:47+02:00,2025-06-10 11:59:12+00:00,2.440315701567830
azure/azuremonitorstarterpacks,Azure-AzureMonitorStarterPacks.tar.gz,azure,misc/packs/OpenAI/monitoring.json,59.0,2023-07-09 15:25:52+00:00,2024-04-05 16:34:45-04:00,2025-06-12 11:29:22+00:00,38.53377680274150
vinod827/cloudkit-lab,vinod827-cloudkit-lab.tar.gz,kyverno,iac/demo/kyverno/2.1-kyverno-clusterpolicy-mutate-label.yml,17.0,2021-01-06 18:44:43+05:30,2025-02-16 08:41:13+05:30,2025-04-26 01:44:28+00:00,95.61038840733000
alexrogalskiy/wotd,AlexRogalskiy-wotd.tar.gz,opa,policy/deny.rego,1.0,2021-02-22 16:32:57+03:00,2021-08-19 14:55:54+03:00,2025-06-15 04:04:11+00:00,11.30732309246800
cray-hpe/cray-opa-gatekeeper,Cray-HPE-cray-opa-gatekeeper.tar.gz,opa,charts/gatekeeper-policy-library/regos/host-namespaces/host-namespaces.src.rego,0.0,2021-01-15 08:26:25-06:00,2021-11-30 01:55:01-05:00,2024-09-13 04:14:24+00:00,23.843520231744900
open-policy-agent/library,open-policy-agent-library.tar.gz,opa,docker/host_mounts.rego,99.0,2017-08-25 15:08:17-07:00,2017-12-04 19:02:00-08:00,2023-10-16 10:17:42+00:00,4.512984382942230
kubesphere/kubesphere,kubesphere-kubesphere.tar.gz,opa,config/ks-core/files/extensions.customresourcefilters.rego,16046.0,2019-03-07 17:08:54+08:00,2024-09-06 11:05:52+08:00,2025-05-29 07:51:37+00:00,88.34265081843630
dlcowen/sansfor509,dlcowen-sansfor509.tar.gz,azure,Azure/PolicyStorageToEventHub.json,201.0,2021-05-01 16:07:53-05:00,2021-07-03 19:50:20-05:00,2024-09-13 00:13:37+00:00,5.133972137670300
axeii/home-ops,axeII-home-ops.tar.gz,kyverno,kubernetes/apps/kyverno/kyverno/policies/ingress.yaml,46.0,2021-07-06 19:45:26+02:00,2024-06-29 14:24:13+02:00,2025-06-27 16:14:26+00:00,74.98790089929370
networkservicemesh/sdk,networkservicemesh-sdk.tar.gz,opa,pkg/tools/opa/sample_policies/custom_policy.rego,34.0,2020-01-14 12:21:50-06:00,2022-12-15 15:39:31+03:00,2025-05-29 13:40:03+00:00,54.32561600496110
googlecloudplatform/blueprints,GoogleCloudPlatform-blueprints.tar.gz,gatekeeper,catalog/hierarchy/simple/policies/naming-constraint.yaml,90.0,2021-02-17 23:11:03+00:00,2021-06-17 16:58:33-05:00,2025-06-24 19:31:32+00:00,7.554229761114780
giantswarm/kyverno-app,giantswarm-kyverno-app.tar.gz,kyverno,helm/kyverno/templates/core-policies/trivy-cluster-cleanup-policy.yaml,0.0,2022-08-03 14:57:02-03:00,2024-05-15 18:48:10+02:00,2025-05-27 10:06:18+00:00,63.34233860484620
azurenoops/terraform-azurerm-overlays-policy,azurenoops-terraform-azurerm-overlays-policy.tar.gz,azure,modules/policyDefinition/custompolicies/definitions/network/deny_appgw_without_waf.json,3.0,2023-02-28 11:50:48-05:00,2023-03-07 15:41:38+00:00,2024-03-18 16:55:26+00:00,1.8103930576874100
marvinbuss/terraform-landingzones,marvinbuss-Terraform-LandingZones.tar.gz,azure,code/cafModule/lib/policy_definitions/policy_definition_storage_account_virtual_network_rules_restriction.json,2.0,2023-03-16 16:23:24+01:00,2023-09-19 13:41:52+02:00,2023-12-17 10:42:57+00:00,67.74568726011160
dheerajodha/the-mentalist-quiz,dheerajodha-the-mentalist-quiz.tar.gz,opa,ec-policy/rules/verify_base_go_version.rego,0.0,2024-07-05 19:14:46+05:30,2024-09-12 02:25:20+05:30,2025-05-21 12:23:39+00:00,21.347196788439300
mailbadger/app,mailbadger-app.tar.gz,opa,opa/rbac_authz.rego,50.0,2016-09-01 23:24:39+02:00,2021-03-22 21:37:47+01:00,2022-02-06 14:55:19+00:00,83.83034809104440
sap/infrabox,SAP-InfraBox.tar.gz,opa,src/openpolicyagent/policies/projects_commits.rego,274.0,2018-03-22 10:06:47-04:00,2018-09-22 16:56:58+02:00,2025-06-17 07:44:48+00:00,6.961169257430390
alexrogalskiy/proverbs,AlexRogalskiy-proverbs.tar.gz,opa,policy/deny.rego,5.0,2021-03-10 17:47:39+03:00,2021-08-07 02:33:31+03:00,2025-06-26 15:52:37+00:00,9.519495882352010
jameswoolfenden/terraform-aws-s3,JamesWoolfenden-terraform-aws-s3.tar.gz,checkov-py,checkov/S3MFADelete.py,3.0,2018-12-25 12:52:08+00:00,2020-03-31 14:32:09+01:00,2022-10-06 09:02:00+00:00,33.459903203055300
lenaxia/home-ops-dev,lenaxia-home-ops-dev.tar.gz,kyverno,cluster/staging/apps/kyverno/policies/apply-ingress-external-dns-annotations.yaml,19.0,2022-07-04 21:29:44+00:00,2023-12-27 06:46:35+00:00,2025-05-31 02:15:25+00:00,50.92230688136790
microageservicesorg/azure-lighthouse-deploymentautomation,MicroAgeServicesOrg-Azure-Lighthouse-deploymentAutomation.tar.gz,azure,customPolicyDefinitions/customTagPolicy.json,0.0,2023-01-20 14:29:38-05:00,2023-11-03 15:44:31-04:00,2024-11-15 16:40:08+00:00,43.16708976091040
pluralsh/plural-helm-charts,pluralsh-plural-helm-charts.tar.gz,kyverno,charts/kyverno-policies/templates/default/disallow-adding-capabilities.yaml,4.0,2021-09-06 19:00:07+02:00,2022-01-26 14:45:43+01:00,2024-10-15 13:20:27+00:00,12.500799075418200
courselabs/kubernetes,courselabs-kubernetes.tar.gz,gatekeeper,labs/admission/specs/opa-gatekeeper/constraints/requiredLabels.yaml,70.0,2021-03-31 11:59:45+01:00,2021-09-21 08:32:42+01:00,2024-06-19 09:36:51+00:00,14.784415525821500
ansible/ansible-policy,ansible-ansible-policy.tar.gz,opa,ansible_policy/rego/utils.rego,24.0,2023-11-21 17:55:34+09:00,2024-06-09 16:00:28+09:00,2024-10-11 01:26:11+00:00,61.88097923230200
