repo_name,archive_name,repo_id,path,ref,size,technology,id
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,library/constraints/flux-require-service-account/template.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,848.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,library/constraints/pod-priority-class/template.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,1145.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8sallowedrepos.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,2013.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8srequiredprobes.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,2024.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/verifydeprecatedapi.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,2555.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8spspflexvolumes.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,2139.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8shorizontalpodautoscaler.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,4538.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8spsphostnetworkingports.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,3987.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/noupdateserviceaccount.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,3914.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8spspprocmount.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,4610.0,gatekeeper,284453143.0
XenitAB/gatekeeper-library,XenitAB-gatekeeper-library.tar.gz,284453143.0,charts/gatekeeper-library-templates/generated/k8spspforbiddensysctls.yaml,4576090c506db3aa2efd6abe6fed532d7bf1215b,3598.0,gatekeeper,284453143.0
