,repo_id,path,ref,size,technology,id
6509,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1248.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1016,azure,98492017
6510,98492017,built-in-policies/policyDefinitions/Azure Government/Regulatory Compliance/MicrosoftManagedControl1550.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1017,azure,98492017
6511,98492017,patterns/pattern-logical-operators-2.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,758,azure,98492017
6512,221338252,policyDefinitions/General/use-match-condition-on-tag-value/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,906,azure,221338252
6513,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1496.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1008,azure,98492017
6514,189301782,Policy/Audit missing blob encryption for storage accounts.json,ede1f1f7f646e9f4212c6a2034b416851539336d,287,azure,189301782
6515,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1137.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1020,azure,98492017
6516,221338252,policyDefinitions/Network/audit-changes-to-route-tables-udrs/azurepolicy.json,b5833fd03cbaee6051deab81c3a3a87ae09cd982,932,azure,221338252
6517,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1509.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1021,azure,98492017
6518,189301782,Policy/Audit KeyVaults without CanNotDelete ResourceLock.json,ede1f1f7f646e9f4212c6a2034b416851539336d,448,azure,189301782
6519,232899500,ARMTemplates/NamingPolicy.json,b91ad5646f9d51907ba59e07382a713cda728848,983,azure,232899500
6520,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1379.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1019,azure,98492017
6521,98492017,built-in-policies/policyDefinitions/Regulatory Compliance/MicrosoftManagedControl1515.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1019,azure,98492017
6522,98492017,patterns/pattern-parameters-2.json,bd3ee304c3246325dd6fa59f30b6f417c4b6b011,1148,azure,98492017
