repo_name,archive_name
suse-edge/charts,suse-edge-charts.tar.gz
chef/automate,chef-automate.tar.gz
DiamondLightSource/workflows,DiamondLightSource-workflows.tar.gz
elastic/cloud-on-k8s,elastic-cloud-on-k8s.tar.gz
fahlke/flux-kind,fahlke-flux-kind.tar.gz
JimGBritt/AzurePolicy,JimGBritt-AzurePolicy.tar.gz
doitintl/kube-no-trouble,doitintl-kube-no-trouble.tar.gz
omc-college/management-system,omc-college-management-system.tar.gz
hashicorp/observability-as-code,hashicorp-observability-as-code.tar.gz
bcgov/cloud-custodian-policies,bcgov-cloud-custodian-policies.tar.gz
ViktorUJ/cks,ViktorUJ-cks.tar.gz
m9sweeper/m9sweeper,m9sweeper-m9sweeper.tar.gz
confidential-containers/trustee,confidential-containers-trustee.tar.gz
chaitin/veinmind-tools,chaitin-veinmind-tools.tar.gz
WorkshopOrgTest/tailspin-spacegame,WorkshopOrgTest-tailspin-spacegame.tar.gz
portefaix/portefaix-policies,portefaix-portefaix-policies.tar.gz
operate-first/continuous-delivery,operate-first-continuous-delivery.tar.gz
ultra-supara/sisakulint,ultra-supara-sisakulint.tar.gz
nerddotdad/truecharts,nerddotdad-truecharts.tar.gz
GoogleCloudPlatform/gke-policy-library,GoogleCloudPlatform-gke-policy-library.tar.gz
EmbarkStudios/opa-policies,EmbarkStudios-opa-policies.tar.gz
thoth-station/thoth-application,thoth-station-thoth-application.tar.gz
vmware/dod-compliance-and-automation,vmware-dod-compliance-and-automation.tar.gz
hatim-khan/abbey-starter-kit-quickstart,hatim-khan-abbey-starter-kit-quickstart.tar.gz
govuk-one-login/authentication-api,govuk-one-login-authentication-api.tar.gz
microsoft/genaiscript,microsoft-genaiscript.tar.gz
controlplaneio/threat-modelling-labs,controlplaneio-threat-modelling-labs.tar.gz
redhat-cop/rego-policies,redhat-cop-rego-policies.tar.gz
JamesWoolfenden/terraform-gcp-storage,JamesWoolfenden-terraform-gcp-storage.tar.gz
grafana/mimir,grafana-mimir.tar.gz
