repo_name,archive_name
prefapp/daggerverse,prefapp-daggerverse.tar.gz
open-policy-agent/frameworks,open-policy-agent-frameworks.tar.gz
jostrm/azure-enterprise-scale-ml,jostrm-azure-enterprise-scale-ml.tar.gz
NovaMachina/home-ops,NovaMachina-home-ops.tar.gz
CHERIoT-Platform/network-stack,CHERIoT-Platform-network-stack.tar.gz
PacktPublishing/Kubernetes-An-Enterprise-Guide-Third-Edition,PacktPublishing-Kubernetes-An-Enterprise-Guide-Third-Edition.tar.gz
intelops/policyhub,intelops-policyhub.tar.gz
AlexRogalskiy/charts,AlexRogalskiy-charts.tar.gz
cbc02009/k8s-home-ops,cbc02009-k8s-home-ops.tar.gz
Azure/azure-policy,Azure-azure-policy.tar.gz
SocialGouv/infra-apps,SocialGouv-infra-apps.tar.gz
DoD-Platform-One/Kyverno-Policies,DoD-Platform-One-Kyverno-Policies.tar.gz
AlexRogalskiy/screenshots,AlexRogalskiy-screenshots.tar.gz
gucio1200/home-infra,gucio1200-home-infra.tar.gz
aws/aws-cdk,aws-aws-cdk.tar.gz
GoogleCloudPlatform/solution-acceleration-toolkit,GoogleCloudPlatform-solution-acceleration-toolkit.tar.gz
aquasecurity/avd-generator,aquasecurity-avd-generator.tar.gz
armory/se-spinnaker-config,armory-se-spinnaker-config.tar.gz
kubewarden/raw-validation-opa-policy,kubewarden-raw-validation-opa-policy.tar.gz
TkPegatron/homelab-k8sflux,TkPegatron-homelab-k8sflux.tar.gz
Snowflake-Labs/sansshell,Snowflake-Labs-sansshell.tar.gz
odahu/odahu-flow,odahu-odahu-flow.tar.gz
budimanjojo/home-cluster,budimanjojo-home-cluster.tar.gz
daluca/cloud,daluca-cloud.tar.gz
Bearer/bearer,Bearer-bearer.tar.gz
koralium/OPADotNet,koralium-OPADotNet.tar.gz
CharbelNemnom/Power-MVP-Elite,CharbelNemnom-Power-MVP-Elite.tar.gz
educates/educates-training-platform,educates-educates-training-platform.tar.gz
FalkWinkler/k3s-gitops,FalkWinkler-k3s-gitops.tar.gz
opendatahub-io-contrib/data-mesh-pattern,opendatahub-io-contrib-data-mesh-pattern.tar.gz
Legit-Labs/legitify,Legit-Labs-legitify.tar.gz
samip5/k8s-cluster,samip5-k8s-cluster.tar.gz
data-catering/insta-infra,data-catering-insta-infra.tar.gz
valitydev/bouncer-policies,valitydev-bouncer-policies.tar.gz
premisedata/gcp-tutorials,premisedata-gcp-tutorials.tar.gz
tkestack/charts,tkestack-charts.tar.gz
ardanlabs/liarsdice,ardanlabs-liarsdice.tar.gz
nexodus-io/nexodus,nexodus-io-nexodus.tar.gz
jsa4000/homelab-ops,jsa4000-homelab-ops.tar.gz
tyconsulting/azurepolicy,tyconsulting-azurepolicy.tar.gz
labring-actions/cluster-image,labring-actions-cluster-image.tar.gz
ollionorg/gcp-landing-zone,ollionorg-gcp-landing-zone.tar.gz
azsk/AzTS-docs,azsk-AzTS-docs.tar.gz
rancher/partner-charts,rancher-partner-charts.tar.gz
linkedin/openhouse,linkedin-openhouse.tar.gz
par-tec/super-sast,par-tec-super-sast.tar.gz
soulwhisper/homelab-ops,soulwhisper-homelab-ops.tar.gz
cert-manager/cert-manager,cert-manager-cert-manager.tar.gz
kubernetes/k8s.io,kubernetes-k8s.io.tar.gz
Azure/aks-app-routing-operator,Azure-aks-app-routing-operator.tar.gz
project-sunbird/sunbird-devops,project-sunbird-sunbird-devops.tar.gz
tuxpeople/k8s-homelab,tuxpeople-k8s-homelab.tar.gz
GoogleCloudPlatform/terraform-google-secured-data-warehouse,GoogleCloudPlatform-terraform-google-secured-data-warehouse.tar.gz
crossplane/tbs,crossplane-tbs.tar.gz
SebastiaanPasterkamp/dndmachine,SebastiaanPasterkamp-dndmachine.tar.gz
awslabs/idf-modules,awslabs-idf-modules.tar.gz
blaqvikin/Powershell-In-The-Making,blaqvikin-Powershell-In-The-Making.tar.gz
killer-sh/cks-course-environment,killer-sh-cks-course-environment.tar.gz
kube-tarian/helmrepo-supporting-tools,kube-tarian-helmrepo-supporting-tools.tar.gz
JamesWoolfenden/terraform-aws-activemq,JamesWoolfenden-terraform-aws-activemq.tar.gz
artifacthub/hub,artifacthub-hub.tar.gz
spiffe/spire,spiffe-spire.tar.gz
azurenoops/ref-scca-enclave-policy-starter,azurenoops-ref-scca-enclave-policy-starter.tar.gz
BrunoReboul/terraform-google-realtime-asset-monitor,BrunoReboul-terraform-google-realtime-asset-monitor.tar.gz
Azure/Community-Policy,Azure-Community-Policy.tar.gz
lakekeeper/lakekeeper,lakekeeper-lakekeeper.tar.gz
nonfx/starchitect-cloudguard,nonfx-starchitect-cloudguard.tar.gz
ollionorg/cloud-custodian-aws-policies,ollionorg-cloud-custodian-aws-policies.tar.gz
meshery/meshery,meshery-meshery.tar.gz
konflux-ci/konflux-ci,konflux-ci-konflux-ci.tar.gz
andrewkrug/securing-the-cloud-supplemental,andrewkrug-securing-the-cloud-supplemental.tar.gz
noobient/noobuntu,noobient-noobuntu.tar.gz
atea/tc24-infraops,atea-tc24-infraops.tar.gz
fybrik/hello-world-read-module,fybrik-hello-world-read-module.tar.gz
devantler-tech/platform,devantler-tech-platform.tar.gz
Checkmarx/kics,Checkmarx-kics.tar.gz
aws-ia/terraform-aws-eks-blueprints,aws-ia-terraform-aws-eks-blueprints.tar.gz
FlorisFeddema/homelab,FlorisFeddema-homelab.tar.gz
helderpinto/AzureUpdateManagerTools,helderpinto-AzureUpdateManagerTools.tar.gz
YunosukeY/policy-for-pss,YunosukeY-policy-for-pss.tar.gz
clouditor/clouditor,clouditor-clouditor.tar.gz
RafaySystems/getstarted,RafaySystems-getstarted.tar.gz
jfroy/flatops,jfroy-flatops.tar.gz
GersonRS/modern-gitops-stack-module-metallb,GersonRS-modern-gitops-stack-module-metallb.tar.gz
aquasecurity/tracee-action,aquasecurity-tracee-action.tar.gz
joshuaspence/homelab,joshuaspence-homelab.tar.gz
autokitteh/autokitteh,autokitteh-autokitteh.tar.gz
DMTF/spdm-emu,DMTF-spdm-emu.tar.gz
DoD-Platform-One/gitlab-runner,DoD-Platform-One-gitlab-runner.tar.gz
HC-IPPM/safe-inputs,HC-IPPM-safe-inputs.tar.gz
factorhouse/kpow-local,factorhouse-kpow-local.tar.gz
likvid-bank/likvid-cloudfoundation,likvid-bank-likvid-cloudfoundation.tar.gz
external-secrets/external-secrets,external-secrets-external-secrets.tar.gz
jamelachahbar/AzureOptimizer,jamelachahbar-AzureOptimizer.tar.gz
